1cd: b4c  ffb8  103
0  10000  0  0
1b4  ffc0  e6  ce
368  ff14  351  17
51c  fdfc  51d  1
6d0  fc6c  6cd  3
884  fa68  886  2
a38  f7f8  a3b  3
bec  f51c  bed  1
da0  f1cc  da1  1
f54  ee14  f56  2
1108  e9f0  110a  2
12bc  e564  12be  2
1470  e070  1471  1
1624  db1c  1625  1
17d8  d564  17d8  0
198c  cf48  198d  1
1b40  c8d4  1b41  1
1cf4  c208  1cf4  0
1ea8  bae0  1ea8  0
205c  b364  205d  1
2210  aba0  2210  0
23c4  a388  23c4  0
2578  9b28  2578  0
272c  9280  272d  1
28e0  899c  28e0  0
2a94  8078  2a94  0
2c48  7718  2c48  0
2dfc  6d88  2dfc  0
2fb0  63c4  2fb0  0
3164  59d4  3164  0
3318  4fbc  3318  0
34cc  4580  34cc  0
3680  3b24  3680  0
3834  30ac  3834  0
39e8  2624  39e8  0
3b9c  1b88  3b9c  0
3d50  10dc  3d50  0
3f04  62c  3f04  0
40b8  fffffb7c  40b9  1
426c  fffff0c8  426d  1
4420  ffffe620  4420  0
45d4  ffffdb80  45d5  1
4788  ffffd0f4  4788  0
493c  ffffc678  493d  1
4af0  ffffbc18  4af1  1
4ca4  ffffb1d8  4ca4  0
4e58  ffffa7b8  4e59  1
500c  ffff9dc0  500d  1
51c0  ffff93f8  51c1  1
5374  ffff8a60  5374  0
5528  ffff80f4  5529  1
56dc  ffff77cc  56dc  0
5890  ffff6edc  5890  0
5a44  ffff662c  5a44  0
5bf8  ffff5dbc  5bf9  1
5dac  ffff559c  5dad  1
5f60  ffff4dcc  5f5f  1
6114  ffff4640  6115  1
62c8  ffff3f10  62c8  0
647c  ffff3834  647c  0
6630  ffff31ac  6631  1
67e4  ffff2b84  67e5  1
6998  ffff25c0  6998  0
6b4c  ffff2058  6b4d  1
6d00  ffff1b54  6d01  1
6eb4  ffff16bc  6eb4  0
7068  ffff1288  7068  0
721c  ffff0ebc  721d  1
73d0  ffff0b5c  73d2  2
7584  ffff0870  7584  0
7738  ffff05ec  7739  1
78ec  ffff03d8  78f1  5
7aa0  ffff023c  7aa3  3
7c54  ffff010c  7c55  1
7e08  ffff004c  7eef  e7
7fbc  ffff0004  7ff2  36
ffff8170  ffff002c  7f62  d2
ffff8324  ffff00c0  7d4d  71
ffff84d8  ffff01d0  7b2f  7
ffff868c  ffff0350  7975  1
ffff8840  ffff053c  77c1  1
ffff89f4  ffff0798  760f  3
ffff8ba8  ffff0a68  7459  1
ffff8d5c  ffff0da8  72a3  1
ffff8f10  ffff114c  70f0  0
ffff90c4  ffff1560  6f3c  0
ffff9278  ffff19dc  6d88  0
ffff942c  ffff1ec0  6bd4  0
ffff95e0  ffff2404  6a20  0
ffff9794  ffff29b0  686c  0
ffff9948  ffff2fbc  66b7  1
ffff9afc  ffff3620  6504  0
ffff9cb0  ffff3ce4  634f  1
ffff9e64  ffff43fc  619b  1
ffffa018  ffff4b68  5fe8  0
ffffa1cc  ffff5324  5e35  1
ffffa380  ffff5b30  5c80  0
ffffa534  ffff6384  5acc  0
ffffa6e8  ffff6c1c  5919  1
ffffa89c  ffff74fc  5764  0
ffffaa50  ffff7e14  55b1  1
ffffac04  ffff8768  53fd  1
ffffadb8  ffff90f4  5249  1
ffffaf6c  ffff9ab0  5095  1
ffffb120  ffffa498  4ee1  1
ffffb2d4  ffffaeac  4d2d  1
ffffb488  ffffb8e4  4b78  0
ffffb63c  ffffc338  49c5  1
ffffb7f0  ffffcdac  4810  0
ffffb9a4  ffffd834  465c  0
ffffbb58  ffffe2cc  44a9  1
ffffbd0c  ffffed74  42f5  1
ffffbec0  fffff824  4141  1
ffffc074  2d8  3f8c  0
ffffc228  d88  3dd8  0
ffffc3dc  1834  3c24  0
ffffc590  22d4  3a70  0
ffffc744  2d64  38bc  0
ffffc8f8  37e4  3708  0
ffffcaac  4248  3554  0
ffffcc60  4c8c  33a0  0
ffffce14  56b4  31ec  0
ffffcfc8  60b0  3038  0
ffffd17c  6a80  2e84  0
ffffd330  7420  2cd1  1
ffffd4e4  7d94  2b1c  0
ffffd698  86c8  2968  0
ffffd84c  8fc0  27b5  1
ffffda00  9880  2600  0
ffffdbb4  a0f0  244d  1
ffffdd68  a920  2298  0
ffffdf1c  b100  20e5  1
ffffe0d0  b894  1f30  0
ffffe284  bfd4  1d7c  0
ffffe438  c6bc  1bc9  1
ffffe5ec  cd50  1a14  0
ffffe7a0  d384  1861  1
ffffe954  d95c  16ad  1
ffffeb08  ded8  14f7  1
ffffecbc  e3e4  1345  1
ffffee70  e890  1191  1
fffff024  ecd4  fde  2
fffff1d8  f0b0  e29  1
fffff38c  f41c  c77  3
fffff540  f720  ac2  2
fffff6f4  f9b4  90d  1
fffff8a8  fbd4  75b  3
fffffa5c  fd88  5a2  2
fffffc10  fecc  3e7  9
fffffdc4  ff98  176  c6
